"pars" "rmse" "lambdas_df" "gamma_df" "mtry_df" "dataset" "model" "good" "bad"
"64" 31 0.511112918741142 0.5 0.7495 75 1 "boosted_rf" 0.833333333333333 0.4
"65" 24 0.571428650789469 0.5 0.999 75 1 "boosted_rf" 0.333333333333333 0.444444444444444
"66" 108 0.509826721869259 0.7 0.001 75 1 "boosted_rf" 0.65979381443299 0.222222222222222
"67" 61 0.513547170252034 0.7 0.2505 75 1 "boosted_rf" 0.653061224489796 0.244444444444444
"68" 41 0.503637338934855 0.7 0.5 75 1 "boosted_rf" 0.814814814814815 0.288888888888889
"69" 34 0.512130932336091 0.7 0.7495 75 1 "boosted_rf" 0.75 0.377777777777778
"70" 26 0.555777337967208 0.7 0.999 75 1 "boosted_rf" 0.5 0.466666666666667
"71" 201 0.508341612361034 0.9 0.001 75 1 "boosted_rf" 0.643617021276596 0.266666666666667
"72" 103 0.507541181054887 0.9 0.2505 75 1 "boosted_rf" 0.685393258426966 0.288888888888889
"73" 49 0.505748525018823 0.9 0.5 75 1 "boosted_rf" 0.742857142857143 0.288888888888889
"74" 33 0.496955204142504 0.9 0.7495 75 1 "boosted_rf" 0.722222222222222 0.311111111111111
"75" 25 0.581057606910707 0.9 0.999 75 1 "boosted_rf" 0.333333333333333 0.466666666666667
"76" 18 0.520899851618715 0.1 0.001 105 1 "boosted_rf" 0.6 0.155555555555556
"77" 21 0.555533490202078 0.1 0.2505 105 1 "boosted_rf" 0.6 0.333333333333333
"78" 19 0.58753118479645 0.1 0.5 105 1 "boosted_rf" 0.5 0.355555555555556
"79" 20 0.596330801316159 0.1 0.7495 105 1 "boosted_rf" 0.5 0.377777777777778
"80" 17 0.53917897019647 0.1 0.999 105 1 "boosted_rf" 0.75 0.266666666666667
"81" 26 0.500142592953084 0.3 0.001 105 1 "boosted_rf" 0.823529411764706 0.177777777777778
"82" 23 0.516843411938772 0.3 0.2505 105 1 "boosted_rf" 0.545454545454545 0.244444444444444
"83" 23 0.538847833882928 0.3 0.5 105 1 "boosted_rf" 0.7 0.266666666666667
"84" 20 0.509303821363423 0.3 0.7495 105 1 "boosted_rf" 0.857142857142857 0.266666666666667
"85" 18 0.565731843090892 0.3 0.999 105 1 "boosted_rf" 0.666666666666667 0.311111111111111
"86" 48 0.519321302975958 0.5 0.001 105 1 "boosted_rf" 0.714285714285714 0.111111111111111
"87" 33 0.52079382050971 0.5 0.2505 105 1 "boosted_rf" 0.708333333333333 0.177777777777778
"88" 25 0.51161061947237 0.5 0.5 105 1 "boosted_rf" 0.538461538461538 0.244444444444444
"89" 21 0.534384024581424 0.5 0.7495 105 1 "boosted_rf" 0.857142857142857 0.288888888888889
"90" 18 0.573092744693848 0.5 0.999 105 1 "boosted_rf" 0.5 0.333333333333333
"91" 92 0.498449506277461 0.7 0.001 105 1 "boosted_rf" 0.678571428571429 0.155555555555556
"92" 52 0.50867863540296 0.7 0.2505 105 1 "boosted_rf" 0.767441860465116 0.177777777777778
"93" 32 0.503642872686766 0.7 0.5 105 1 "boosted_rf" 0.818181818181818 0.2
"94" 26 0.513211516853792 0.7 0.7495 105 1 "boosted_rf" 0.833333333333333 0.288888888888889
"95" 19 0.547953347182189 0.7 0.999 105 1 "boosted_rf" 0.666666666666667 0.333333333333333
"96" 192 0.506547603727353 0.9 0.001 105 1 "boosted_rf" 0.627777777777778 0.244444444444444
"97" 91 0.506402185636605 0.9 0.2505 105 1 "boosted_rf" 0.617283950617284 0.2
"98" 42 0.511932140782683 0.9 0.5 105 1 "boosted_rf" 0.625 0.2
"99" 22 0.507663483237079 0.9 0.7495 105 1 "boosted_rf" 0.636363636363636 0.222222222222222
"100" 19 0.573298332916439 0.9 0.999 105 1 "boosted_rf" 0.75 0.311111111111111
"101" 14 0.526125834590193 0.1 0.001 135 1 "boosted_rf" 0.666666666666667 0.155555555555556
"102" 14 0.553101393238686 0.1 0.2505 135 1 "boosted_rf" 1 0.244444444444444
"103" 13 0.566967922622614 0.1 0.5 135 1 "boosted_rf" 1 0.244444444444444
"104" 14 0.564848006930384 0.1 0.7495 135 1 "boosted_rf" 1 0.266666666666667
"105" 13 0.539761860198762 0.1 0.999 135 1 "boosted_rf" 1 0.222222222222222
"106" 19 0.516636287817014 0.3 0.001 135 1 "boosted_rf" 1 0.133333333333333
"107" 17 0.523085673984703 0.3 0.2505 135 1 "boosted_rf" 0.75 0.177777777777778
"108" 16 0.514418941276831 0.3 0.5 135 1 "boosted_rf" 1 0.222222222222222
"109" 16 0.514003686792168 0.3 0.7495 135 1 "boosted_rf" 1 0.244444444444444
"110" 16 0.529586100548334 0.3 0.999 135 1 "boosted_rf" 1 0.266666666666667
"111" 36 0.522092239404121 0.5 0.001 135 1 "boosted_rf" 0.571428571428571 0.155555555555556
"112" 25 0.503320758955817 0.5 0.2505 135 1 "boosted_rf" 0.777777777777778 0.133333333333333
"113" 19 0.500722673323991 0.5 0.5 135 1 "boosted_rf" 0.7 0.177777777777778
"114" 14 0.528404191922935 0.5 0.7495 135 1 "boosted_rf" 0.75 0.2
"115" 16 0.565702347812329 0.5 0.999 135 1 "boosted_rf" 1 0.288888888888889
"116" 97 0.507923052951131 0.7 0.001 135 1 "boosted_rf" 0.693181818181818 0.177777777777778
"117" 49 0.498738523418783 0.7 0.2505 135 1 "boosted_rf" 0.75609756097561 0.155555555555556
"118" 27 0.515143564970115 0.7 0.5 135 1 "boosted_rf" 0.666666666666667 0.177777777777778
"119" 18 0.527143314864401 0.7 0.7495 135 1 "boosted_rf" 0.777777777777778 0.177777777777778
"120" 14 0.558255461226433 0.7 0.999 135 1 "boosted_rf" 1 0.266666666666667
"121" 176 0.506697212894971 0.9 0.001 135 1 "boosted_rf" 0.654761904761905 0.155555555555556
"122" 82 0.511585983479666 0.9 0.2505 135 1 "boosted_rf" 0.643835616438356 0.177777777777778
"123" 38 0.511770825116419 0.9 0.5 135 1 "boosted_rf" 0.689655172413793 0.177777777777778
"124" 19 0.513405879076568 0.9 0.7495 135 1 "boosted_rf" 0.777777777777778 0.2
"125" 14 0.574844242116811 0.9 0.999 135 1 "boosted_rf" 1 0.266666666666667
"126" 11 0.534217093546365 0.1 0.001 165 1 "boosted_rf" 0.333333333333333 0.0888888888888889
"127" 12 0.558659717394773 0.1 0.2505 165 1 "boosted_rf" 0.666666666666667 0.177777777777778
"128" 11 0.532446783439163 0.1 0.5 165 1 "boosted_rf" 0.666666666666667 0.155555555555556
"129" 13 0.553564619064453 0.1 0.7495 165 1 "boosted_rf" 0.333333333333333 0.2
"130" 12 0.556616857758114 0.1 0.999 165 1 "boosted_rf" 0.666666666666667 0.177777777777778
"131" 17 0.514183370800279 0.3 0.001 165 1 "boosted_rf" 0.538461538461538 0.0666666666666667
"132" 14 0.526470310772719 0.3 0.2505 165 1 "boosted_rf" 0.714285714285714 0.133333333333333
"133" 12 0.521901340841194 0.3 0.5 165 1 "boosted_rf" 0.666666666666667 0.111111111111111
"134" 13 0.538510230496012 0.3 0.7495 165 1 "boosted_rf" 0.75 0.177777777777778
"135" 10 0.564270582811303 0.3 0.999 165 1 "boosted_rf" 0.5 0.155555555555556
"136" 38 0.499131855678892 0.5 0.001 165 1 "boosted_rf" 0.727272727272727 0.0888888888888889
"137" 18 0.520816116530368 0.5 0.2505 165 1 "boosted_rf" 0.692307692307692 0.0888888888888889
"138" 15 0.522472758096303 0.5 0.5 165 1 "boosted_rf" 0.777777777777778 0.111111111111111
"139" 14 0.516633518295855 0.5 0.7495 165 1 "boosted_rf" 0.666666666666667 0.155555555555556
"140" 11 0.558171596036578 0.5 0.999 165 1 "boosted_rf" 0.5 0.177777777777778
"141" 74 0.500289425867435 0.7 0.001 165 1 "boosted_rf" 0.681159420289855 0.0888888888888889
"142" 41 0.504394116114902 0.7 0.2505 165 1 "boosted_rf" 0.742857142857143 0.111111111111111
"143" 19 0.520287877573187 0.7 0.5 165 1 "boosted_rf" 0.538461538461538 0.111111111111111
"144" 14 0.527785439444512 0.7 0.7495 165 1 "boosted_rf" 0.875 0.111111111111111
"145" 11 0.557252548787166 0.7 0.999 165 1 "boosted_rf" 0.5 0.177777777777778
"146" 170 0.513149986782322 0.9 0.001 165 1 "boosted_rf" 0.648484848484848 0.0888888888888889
"147" 81 0.503751409756558 0.9 0.2505 165 1 "boosted_rf" 0.657894736842105 0.0888888888888889
"148" 33 0.513235786422294 0.9 0.5 165 1 "boosted_rf" 0.607142857142857 0.0888888888888889
"149" 15 0.502474871056651 0.9 0.7495 165 1 "boosted_rf" 0.666666666666667 0.111111111111111
"150" 12 0.561604400724089 0.9 0.999 165 1 "boosted_rf" 0.666666666666667 0.177777777777778
"151" 8 0.571320462813756 0.1 0.001 195 1 "boosted_rf" 1 0.0888888888888889
"152" 9 0.564498175554888 0.1 0.2505 195 1 "boosted_rf" 1 0.155555555555556
"153" 9 0.556841336041252 0.1 0.5 195 1 "boosted_rf" 1 0.133333333333333
"154" 9 0.56034350507548 0.1 0.7495 195 1 "boosted_rf" 1 0.133333333333333
"155" 9 0.531941578928757 0.1 0.999 195 1 "boosted_rf" 1 0.133333333333333
"156" 13 0.511133599839419 0.3 0.001 195 1 "boosted_rf" 0.777777777777778 0.0666666666666667
"157" 12 0.534152282809146 0.3 0.2505 195 1 "boosted_rf" 0.857142857142857 0.0888888888888889
"158" 10 0.512837836057806 0.3 0.5 195 1 "boosted_rf" 0.8 0.0888888888888889
"159" 10 0.533779961330035 0.3 0.7495 195 1 "boosted_rf" 1 0.155555555555556
"160" 10 0.551725887933059 0.3 0.999 195 1 "boosted_rf" 1 0.177777777777778
"161" 28 0.511716127367734 0.5 0.001 195 1 "boosted_rf" 0.695652173913043 0.0888888888888889
"162" 20 0.552650742636027 0.5 0.2505 195 1 "boosted_rf" 0.6 0.0888888888888889
"163" 13 0.51686991370548 0.5 0.5 195 1 "boosted_rf" 1 0.0888888888888889
"164" 10 0.54287501502936 0.5 0.7495 195 1 "boosted_rf" 1 0.111111111111111
"165" 10 0.548503946450882 0.5 0.999 195 1 "boosted_rf" 1 0.155555555555556
"166" 74 0.514272917028215 0.7 0.001 195 1 "boosted_rf" 0.63768115942029 0.0888888888888889
"167" 36 0.513849450307777 0.7 0.2505 195 1 "boosted_rf" 0.774193548387097 0.0888888888888889
"168" 19 0.517982678348069 0.7 0.5 195 1 "boosted_rf" 0.714285714285714 0.0888888888888889
"169" 13 0.520035007205672 0.7 0.7495 195 1 "boosted_rf" 0.857142857142857 0.111111111111111
"170" 11 0.561287357729234 0.7 0.999 195 1 "boosted_rf" 1 0.177777777777778
"171" 171 0.502697912057275 0.9 0.001 195 1 "boosted_rf" 0.642424242424242 0.111111111111111
"172" 63 0.501159645195891 0.9 0.2505 195 1 "boosted_rf" 0.672413793103448 0.0888888888888889
"173" 26 0.498947733330294 0.9 0.5 195 1 "boosted_rf" 0.75 0.111111111111111
"174" 13 0.53004912984788 0.9 0.7495 195 1 "boosted_rf" 0.714285714285714 0.111111111111111
"175" 8 0.555003455318656 0.9 0.999 195 1 "boosted_rf" 1 0.133333333333333
"176" 7 0.562285290761868 0.1 0.001 225 1 "boosted_rf" 0.5 0.0444444444444444
"177" 7 0.548640382398924 0.1 0.2505 225 1 "boosted_rf" 0.666666666666667 0.0666666666666667
"178" 6 0.56178665262026 0.1 0.5 225 1 "boosted_rf" 0 0.0666666666666667
"179" 5 0.565533914492905 0.1 0.7495 225 1 "boosted_rf" 0.5 0.0444444444444444
"180" 7 0.550227499698655 0.1 0.999 225 1 "boosted_rf" 0.5 0.0888888888888889
"181" 13 0.522448517957425 0.3 0.001 225 1 "boosted_rf" 0.636363636363636 0.0222222222222222
"182" 9 0.540235094559373 0.3 0.2505 225 1 "boosted_rf" 0.5 0.0444444444444444
"183" 8 0.527505139104504 0.3 0.5 225 1 "boosted_rf" 0.8 0.0444444444444444
"184" 7 0.547642031669582 0.3 0.7495 225 1 "boosted_rf" 0.666666666666667 0.0666666666666667
"185" 7 0.548651440969501 0.3 0.999 225 1 "boosted_rf" 0.666666666666667 0.0666666666666667
"186" 24 0.524649478694712 0.5 0.001 225 1 "boosted_rf" 0.666666666666667 0.0444444444444444
"187" 18 0.518721439497234 0.5 0.2505 225 1 "boosted_rf" 0.666666666666667 0.0444444444444444
"188" 12 0.533724149352301 0.5 0.5 225 1 "boosted_rf" 0.625 0.0666666666666667
"189" 10 0.531340574367587 0.5 0.7495 225 1 "boosted_rf" 0.833333333333333 0.0666666666666667
"190" 6 0.546918588639498 0.5 0.999 225 1 "boosted_rf" 0.5 0.0666666666666667
"191" 70 0.50556683677195 0.7 0.001 225 1 "boosted_rf" 0.716417910447761 0.0444444444444444
"192" 31 0.515971479332366 0.7 0.2505 225 1 "boosted_rf" 0.678571428571429 0.0444444444444444
"193" 14 0.50067952154198 0.7 0.5 225 1 "boosted_rf" 0.818181818181818 0.0444444444444444
